Word;lemme;cgram;infover
a;avoir;VER;"ind:pre:3s;"
abaissa;abaisser;VER;"ind:pas:3s;"
abaissai;abaisser;VER;"ind:pas:1s;"
abaissaient;abaisser;VER;"ind:imp:3p;"
abaissait;abaisser;VER;"ind:imp:3s;"
abaissant;abaisser;VER;"par:pre;"
abaisse;abaisser;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abaissent;abaisser;VER;"ind:pre:3p;"
abaisser;abaisser;VER;"inf;"
abaissera;abaisser;VER;"ind:fut:3s;"
abaisserai;abaisser;VER;"ind:fut:1s;"
abaisseraient;abaisser;VER;"cnd:pre:3p;"
abaisserais;abaisser;VER;"cnd:pre:1s;cnd:pre:2s;"
abaisserait;abaisser;VER;"cnd:pre:3s;"
abaisses;abaisser;VER;"ind:pre:2s;"
abaissez;abaisser;VER;"imp:pre:2p;ind:pre:2p;"
abaissons;abaisser;VER;"imp:pre:1p;"
abaissèrent;abaisser;VER;"ind:pas:3p;"
abaissé;abaisser;VER;"par:pas;"
abaissée;abaisser;VER;"par:pas;"
abaissées;abaisser;VER;"par:pas;"
abaissés;abaisser;VER;"par:pas;"
abandonna;abandonner;VER;"ind:pas:3s;"
abandonnai;abandonner;VER;"ind:pas:1s;"
abandonnaient;abandonner;VER;"ind:imp:3p;"
abandonnais;abandonner;VER;"ind:imp:1s;ind:imp:2s;"
abandonnait;abandonner;VER;"ind:imp:3s;"
abandonnant;abandonner;VER;"par:pre;"
abandonnas;abandonner;VER;"ind:pas:2s;"
abandonne;abandonner;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;"
abandonnent;abandonner;VER;"ind:pre:3p;sub:pre:3p;"
abandonner;abandonner;VER;"ind:pre:2p;inf;"
abandonnera;abandonner;VER;"ind:fut:3s;"
abandonnerai;abandonner;VER;"ind:fut:1s;"
abandonneraient;abandonner;VER;"cnd:pre:3p;"
abandonnerais;abandonner;VER;"cnd:pre:1s;cnd:pre:2s;"
abandonnerait;abandonner;VER;"cnd:pre:3s;"
abandonneras;abandonner;VER;"ind:fut:2s;"
abandonnerez;abandonner;VER;"ind:fut:2p;"
abandonneriez;abandonner;VER;"cnd:pre:2p;"
abandonnerions;abandonner;VER;"cnd:pre:1p;"
abandonnerons;abandonner;VER;"ind:fut:1p;"
abandonneront;abandonner;VER;"ind:fut:3p;"
abandonnes;abandonner;VER;"ind:pre:2s;sub:pre:2s;"
abandonnez;abandonner;VER;"imp:pre:2p;ind:pre:2p;"
abandonniez;abandonner;VER;"ind:imp:2p;"
abandonnions;abandonner;VER;"ind:imp:1p;"
abandonnons;abandonner;VER;"imp:pre:1p;ind:pre:1p;"
abandonnâmes;abandonner;VER;"ind:pas:1p;"
abandonnât;abandonner;VER;"sub:imp:3s;"
abandonnèrent;abandonner;VER;"ind:pas:3p;"
abandonné;abandonner;VER;"par:pas;"
abandonnée;abandonner;VER;"par:pas;"
abandonnées;abandonner;VER;"par:pas;"
abandonnés;abandonner;VER;"par:pas;"
abasourdi;abasourdir;VER;"par:pas;"
abasourdie;abasourdir;VER;"par:pas;"
abasourdir;abasourdir;VER;"inf;"
abasourdis;abasourdir;VER;"par:pas;"
abat;abattre;VER;"ind:pre:3s;"
abats;abattre;VER;"imp:pre:2s;ind:pre:1s;ind:pre:2s;"
abattaient;abattre;VER;"ind:imp:3p;"
abattais;abattre;VER;"ind:imp:1s;"
abattait;abattre;VER;"ind:imp:3s;"
abattant;abattre;VER;"par:pre;"
abatte;abattre;VER;"sub:pre:1s;sub:pre:3s;"
abattent;abattre;VER;"ind:pre:3p;"
abattes;abattre;VER;"sub:pre:2s;"
abattez;abattre;VER;"imp:pre:2p;ind:pre:2p;"
abattiez;abattre;VER;"ind:imp:2p;"
abattions;abattre;VER;"ind:imp:1p;"
abattirent;abattre;VER;"ind:pas:3p;"
abattis;abattre;VER;"ind:pas:1s;"
abattit;abattre;VER;"ind:pas:3s;"
abattons;abattre;VER;"imp:pre:1p;ind:pre:1p;"
abattra;abattre;VER;"ind:fut:3s;"
abattrai;abattre;VER;"ind:fut:1s;"
abattraient;abattre;VER;"cnd:pre:3p;"
abattrais;abattre;VER;"cnd:pre:1s;cnd:pre:2s;"
abattrait;abattre;VER;"cnd:pre:3s;"
abattras;abattre;VER;"ind:fut:2s;"
abattre;abattre;VER;"inf;"
abattrez;abattre;VER;"ind:fut:2p;"
abattriez;abattre;VER;"cnd:pre:2p;"
abattrons;abattre;VER;"ind:fut:1p;"
abattront;abattre;VER;"ind:fut:3p;"
abattu;abattre;VER;"par:pas;"
abattue;abattre;VER;"par:pas;"
abattues;abattre;VER;"par:pas;"
abattus;abattre;VER;"par:pas;"
abdiqua;abdiquer;VER;"ind:pas:3s;"
abdiquai;abdiquer;VER;"ind:pas:1s;"
abdiquaient;abdiquer;VER;"ind:imp:3p;"
abdiquais;abdiquer;VER;"ind:imp:1s;"
abdiquait;abdiquer;VER;"ind:imp:3s;"
abdiquant;abdiquer;VER;"par:pre;"
abdique;abdiquer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abdiquer;abdiquer;VER;"inf;"
abdiquera;abdiquer;VER;"ind:fut:3s;"
abdiquerais;abdiquer;VER;"cnd:pre:1s;"
abdiquerait;abdiquer;VER;"cnd:pre:3s;"
abdiquez;abdiquer;VER;"imp:pre:2p;ind:pre:2p;"
abdiqué;abdiquer;VER;"par:pas;"
abdiquée;abdiquer;VER;"par:pas;"
aberrant;aberrer;VER;"par:pre;"
abhorrais;abhorrer;VER;"ind:imp:1s;"
abhorrait;abhorrer;VER;"ind:imp:3s;"
abhorrant;abhorrer;VER;"par:pre;"
abhorre;abhorrer;VER;"ind:pre:1s;ind:pre:3s;"
abhorrer;abhorrer;VER;"inf;"
abhorrez;abhorrer;VER;"ind:pre:2p;"
abhorré;abhorrer;VER;"par:pas;"
abhorrée;abhorrer;VER;"par:pas;"
abhorrés;abhorrer;VER;"par:pas;"
abjurant;abjurer;VER;"par:pre;"
abjure;abjurer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abjurer;abjurer;VER;"inf;"
abjurez;abjurer;VER;"imp:pre:2p;ind:pre:2p;"
abjurons;abjurer;VER;"ind:pre:1p;"
abjuré;abjurer;VER;"par:pas;"
aboie;aboyer;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
aboient;aboyer;VER;"ind:pre:3p;"
aboiera;aboyer;VER;"ind:fut:3s;"
aboierait;aboyer;VER;"cnd:pre:3s;"
aboieront;aboyer;VER;"ind:fut:3p;"
aboies;aboyer;VER;"ind:pre:2s;"
aboli;abolir;VER;"par:pas;"
abolie;abolir;VER;"par:pas;"
abolies;abolir;VER;"par:pas;"
abolir;abolir;VER;"inf;"
abolira;abolir;VER;"ind:fut:3s;"
abolirait;abolir;VER;"cnd:pre:3s;"
aboliras;abolir;VER;"ind:fut:2s;"
abolis;abolir;VER;"ind:pre:1s;par:pas;"
abolissaient;abolir;VER;"ind:imp:3p;"
abolissais;abolir;VER;"ind:imp:1s;"
abolissait;abolir;VER;"ind:imp:3s;"
abolissant;abolir;VER;"par:pre;"
abolissent;abolir;VER;"ind:pre:3p;"
abolissions;abolir;VER;"ind:imp:1p;"
abolissons;abolir;VER;"imp:pre:1p;ind:pre:1p;"
abolit;abolir;VER;"ind:pre:3s;ind:pas:3s;"
abominaient;abominer;VER;"ind:imp:3p;"
abomine;abominer;VER;"ind:pre:1s;ind:pre:3s;"
abominer;abominer;VER;"inf;"
abonda;abonder;VER;"ind:pas:3s;"
abondai;abonder;VER;"ind:pas:1s;"
abondaient;abonder;VER;"ind:imp:3p;"
abondais;abonder;VER;"ind:imp:1s;"
abondait;abonder;VER;"ind:imp:3s;"
abondant;abonder;VER;"par:pre;"
abondassent;abonder;VER;"sub:imp:3p;"
abonde;abonder;VER;"ind:pre:1s;ind:pre:3s;"
abondent;abonder;VER;"ind:pre:3p;"
abonder;abonder;VER;"inf;"
abondé;abonder;VER;"par:pas;"
abonnai;abonner;VER;"ind:pas:1s;"
abonnant;abonner;VER;"par:pre;"
abonne;abonner;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abonner;abonner;VER;"inf;"
abonnez;abonner;VER;"imp:pre:2p;ind:pre:2p;"
abonnât;abonner;VER;"sub:imp:3s;"
abonné;abonner;VER;"par:pas;"
abonnée;abonner;VER;"par:pas;"
abonnées;abonner;VER;"par:pas;"
abonnés;abonner;VER;"par:pas;"
aborda;aborder;VER;"ind:pas:3s;"
abordai;aborder;VER;"ind:pas:1s;"
abordaient;aborder;VER;"ind:imp:3p;"
abordais;aborder;VER;"ind:imp:1s;"
abordait;aborder;VER;"ind:imp:3s;"
abordant;aborder;VER;"par:pre;"
aborde;aborder;VER;"imp:pre:2s;ind:pre:1s;ind:pre:3s;"
abordent;aborder;VER;"ind:pre:3p;"
aborder;aborder;VER;"inf;"
abordera;aborder;VER;"ind:fut:3s;"
aborderai;aborder;VER;"ind:fut:1s;"
